Hours,Temperature
0.0068,15.4174
0.0068,15.2865
0.055,15.9409
0.055,15.81
0.0711,15.9409
0.0711,15.81
0.0871,15.9409
0.0871,15.81
0.1032,15.9409
0.1032,15.81
0.1192,15.81
0.1674,16.0718
0.1674,15.9409
0.1674,15.81
0.2156,15.9409
0.2156,15.81
0.2317,15.9409
0.2317,15.81
0.2477,15.9409
0.2477,15.81
0.2638,15.9409
0.2638,15.81
0.312,15.4174
0.328,18.0348
0.328,17.904
0.328,17.7731
0.328,17.6422
0.328,17.5113
0.328,17.3805
0.328,17.2496
0.328,17.1187
0.328,16.9879
0.328,16.857
0.328,16.7261
0.328,16.5952
0.328,16.4644
0.328,16.3335
0.328,16.2026
0.328,16.0718
0.328,15.9409
0.328,15.81
0.328,15.6791
0.328,15.5483
0.328,15.4174
0.328,15.2865
0.3441,27.5885
0.3441,27.4576
0.3441,27.3267
0.3441,27.1959
0.3441,23.2697
0.3441,23.1388
0.3441,23.008
0.3441,22.8771
0.3441,22.7462
0.3441,22.6153
0.3441,22.4845
0.3441,22.3536
0.3441,22.2227
0.3441,22.0919
0.3441,21.961
0.3441,21.8301
0.3441,21.6992
0.3441,21.5684
0.3441,21.4375
0.3441,21.3066
0.3441,21.1758
0.3441,21.0449
0.3441,20.914
0.3441,20.7831
0.3441,20.6523
0.3441,20.5214
0.3441,20.3905
0.3441,20.2597
0.3441,20.1288
0.3441,19.9979
0.3441,19.867
0.3441,19.7362
0.3441,19.6053
0.3441,19.4744
0.3441,19.3435
0.3441,19.2127
0.3441,19.0818
0.3441,18.9509
0.3441,18.8201
0.3441,18.6892
0.3441,18.5583
0.3441,18.4274
0.3441,18.2966
0.3441,18.1657
0.3441,15.6791
0.3441,15.5483
0.3441,15.4174
0.3441,15.2865
0.3602,27.5885
0.3602,27.4576
0.3602,27.3267
0.3602,27.1959
0.3602,25.7563
0.3602,25.6254
0.3602,25.4945
0.3602,25.3637
0.3602,25.2328
0.3602,25.1019
0.3602,24.971
0.3602,24.8402
0.3602,24.7093
0.3602,24.5784
0.3602,24.4476
0.3602,24.3167
0.3602,24.1858
0.3602,24.0549
0.3602,23.9241
0.3602,23.7932
0.3602,23.6623
0.3602,23.5314
0.3602,23.4006
0.3602,23.2697
0.3602,23.1388
0.3602,23.008
0.3602,22.8771
0.3602,22.7462
0.3602,22.6153
0.3602,22.4845
0.3602,22.3536
0.3602,22.2227
0.3602,22.0919
0.3602,21.961
0.3602,21.8301
0.3602,21.6992
0.3602,21.5684
0.3602,21.4375
0.3602,21.3066
0.3602,21.1758
0.3602,21.0449
0.3602,20.914
0.3602,20.7831
0.3602,20.6523
0.3602,20.5214
0.3602,20.3905
0.3602,20.2597
0.3602,20.1288
0.3602,19.9979
0.3602,19.867
0.3602,19.7362
0.3602,19.6053
0.3602,19.4744
0.3602,19.3435
0.3602,19.2127
0.3602,19.0818
0.3602,18.9509
0.3602,18.8201
0.3602,18.6892
0.3602,18.5583
0.3602,18.4274
0.3602,18.2966
0.3602,18.1657
0.3602,15.4174
0.3602,15.2865
0.3762,27.9811
0.3762,27.8502
0.3762,27.7193
0.3762,27.5885
0.3762,27.4576
0.3762,27.3267
0.3762,27.1959
0.3762,27.065
0.3762,26.9341
0.3762,26.8032
0.3762,26.6724
0.3762,26.5415
0.3762,26.4106
0.3762,26.2798
0.3762,26.1489
0.3762,26.018
0.3762,25.8871
0.3762,25.7563
0.3762,25.6254
0.3762,25.4945
0.3762,25.3637
0.3762,25.2328
0.3762,25.1019
0.3762,24.971
0.3762,24.8402
0.3762,24.7093
0.3762,24.5784
0.3762,24.4476
0.3762,24.3167
0.3762,24.1858
0.3762,24.0549
0.3762,23.9241
0.3762,23.7932
0.3762,23.6623
0.3762,23.5314
0.3762,23.4006
0.3762,19.9979
0.3762,15.2865
0.3923,27.8502
0.3923,27.7193
0.3923,27.5885
0.3923,27.4576
0.3923,27.3267
0.3923,27.1959
0.4083,27.7193
0.4083,27.5885
0.4083,27.4576
0.4083,27.3267
0.4083,27.1959
0.4244,27.8502
0.4244,27.7193
0.4244,27.5885
0.4244,27.4576
0.4244,27.3267
0.4244,27.1959
0.4405,27.9811
0.4405,27.8502
0.4405,27.7193
0.4405,27.5885
0.4405,27.4576
0.4405,27.3267
0.4405,27.1959
0.4565,27.8502
0.4565,27.7193
0.4565,27.5885
0.4565,27.4576
0.4565,27.3267
0.4565,27.1959
0.4726,27.8502
0.4726,27.7193
0.4726,27.5885
0.4726,27.4576
0.4726,27.3267
0.4726,27.1959
0.4887,27.9811
0.4887,27.8502
0.4887,27.7193
0.4887,27.5885
0.4887,27.4576
0.4887,27.3267
0.4887,27.1959
0.5047,27.5885
0.5047,27.4576
0.5047,27.3267
0.5047,27.1959
0.5208,27.5885
0.5208,27.4576
0.5208,27.3267
0.5208,27.1959
0.5368,27.9811
0.5368,27.8502
0.5368,27.7193
0.5368,27.5885
0.5368,27.4576
0.5368,27.3267
0.5368,27.1959
0.5529,27.8502
0.5529,27.7193
0.5529,27.5885
0.5529,27.4576
0.5529,27.3267
0.5529,27.1959
0.569,27.7193
0.569,27.5885
0.569,27.4576
0.569,27.3267
0.569,27.1959
0.585,27.8502
0.585,27.7193
0.585,27.5885
0.585,27.4576
0.585,27.3267
0.585,27.1959
0.6011,27.9811
0.6011,27.8502
0.6011,27.7193
0.6011,27.5885
0.6011,27.4576
0.6011,27.3267
0.6011,27.1959
0.6171,27.8502
0.6171,27.7193
0.6171,27.5885
0.6171,27.4576
0.6171,27.3267
0.6171,27.1959
0.6332,27.8502
